Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Notes & RFI's,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Estimated Project Duration,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Weeks,0,20,0,0,0,0,0,
Contingency,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,"A contingency of 3% is recommended for all projects. If you would like this factored into tour proposa please advise
"
BAL Rating,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Build Area,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,m2,0,20,0,0,0,0,0,
Council,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Council Fees, Bonds, Levy's &amp; Permits: No Allowance. Paid By Owner
"
Construction Documentation & Architect,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"No Allowance for Architectural Works or Additional Costs for Architecturally Administered Contracts
"
Critical Inspection / Private Certifier,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Critical Inspections During a Construction Project - Owner to Pay Direct
"
Engineers,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Owner to Pay Direct For All Requirements for Engineers Including Inspections
"
Preliminaries & General,,GROUP,Incomplete,,,,,,,,772,0,154.4,,,,1019.04,
LABOUR - Preliminaries,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,75,7.5,82.5,unit,0,20,0,0,0,0,0,
LABOUR - Off-Site Project Management,Preliminaries & General,LABOUR,Incomplete,120,Labour - Project Management (Off-Site),0,100,10,110,unit,0,20,0,0,0,0,0,
LABOUR - On-Site Project Management,Preliminaries & General,LABOUR,Incomplete,121,Labour - Project Management (On-Site),0,90,9,99,unit,0,20,0,0,0,0,0,
Home Building Compensation Fund,Preliminaries & General,ALLOWANCE,Incomplete,101,HBCF,0,600,60,660,unit,0,20,0,0,0,0,0,"HBCF is an insurance policy that provides a safety net for home owners in NSW faced with incomplete and defective building work carried out by a builder or tradesperson, and is required on all jobs valued over $20,000. The cost is calculated on the total of construction costs.
NOTE - As this fee is calculated on total construction costs it may be necessary to be adjusted while calculating the final invoice on the project if the cost of the project increases.
"
HBCF Broker Fee,Preliminaries & General,MATERIAL,Incomplete,101,HBCF,1,510,51,561,unit,510,20,102,612,61.2,673.2,673.2,
HIA Contract,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,1,40,4,44,unit,40,20,8,48,4.8,52.8,52.8,
Project Management,Preliminaries & General,LABOUR,Complete,120,Labour - Project Management (Off-Site),0,900,90,990,Weeks,0,20,0,0,0,0,0,"A job is only as good as the supervision it gets during construction. We pride ourselves on keeping up to date with all current industry rules and regulations, which we then make sure all our carpenters and contractors adhere to. All our projects, no matter how big or small all get constant supervision by our team, every single element is checked and passed by our stringent quality control measures.
"
Construction Insurance,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,"Protects your project against unforeseen damage or delays due to events like storms or equipment failure, ensuring continuity and financial security
"
Public Liability Insurance,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,"Covers any accidental injury or property damage to third parties on site, providing peace of mind for you and the community
"
Work Cover,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,Ea,0,20,0,0,0,0,0,"This covers the mandatory workers’ compensation insurance required to ensure all on-site workers are protected in the event of injury. It’s a legal requirement and ensures compliance with workplace safety and insurance obligations throughout the project
"
Buildpass,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,175,17.5,192.5,unit,0,20,0,0,0,0,0,"We use Buildpass as our site safety hub to ensure all works are performed with complete safety in mind
"
Health & Safety,Preliminaries & General,FEE,Incomplete,100,Preliminaries,1,1,0.1,1.1,unit,1,20,0.2,1.2,0.12,1.32,1.32,"Site health and safety measures throughout build
Hazardco safety software used on-site
"
Toolbox Meeting On-site,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,1,1,0.1,1.1,unit,1,20,0.2,1.2,0.12,1.32,1.32,
Job Photography,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,1000,100,1100,unit,0,20,0,0,0,0,0,
Power Cost During Build,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Buildern Project Management,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,250,25,275,unit,0,20,0,0,0,0,0,"We use Buildern as our project management software
This gives you access to the client portal where you can view the project information, schedule &amp; site diaries
"
Contract Signing,Preliminaries & General,LABOUR,Incomplete,100,Preliminaries,0,80,8,88,unit,0,20,0,0,0,0,0,
Quantity Surveying,Preliminaries & General,SUBCONTRACTOR,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,
Future Builder,Preliminaries & General,FEE,Incomplete,100,Preliminaries,0,1813.64,181.364,1995.004,unit,0,20,0,0,0,0,0,
Asbestos Testing,Preliminaries & General,FEE,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,"Allowance for testing for asbestos as necessary
"
Subscriptions,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,172,17.2,189.2,Months,0,20,0,0,0,0,0,
Handover Gift,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,200,20,220,unit,0,20,0,0,0,0,0,
Waste Management,Preliminaries & General,LABOUR,Incomplete,100,Preliminaries,0,0,0,0,unit,0,20,0,0,0,0,0,"Design Waste Management Plan and Existing Resources plan to Reduce, Re-use or Recycle existing materials
"
Refer & Earn,Preliminaries & General,FEE,Incomplete,100,Preliminaries,1,0,0,0,unit,0,20,0,0,0,0,0,
Warehouse,Preliminaries & General,FEE,Incomplete,100,Preliminaries,1,220,22,242,Weeks,220,20,44,264,26.4,290.4,290.4,
New Tool,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,1,0,0,0,unit,0,20,0,0,0,0,0,
Site Identification Surveying,Preliminaries & General,SUBCONTRACTOR,Incomplete,100,Preliminaries,1,0,0,0,unit,0,20,0,0,0,0,0,"Licenced Surveyor to carry out site identification and peg all boundaries
"
Final Building Location Report,Preliminaries & General,SUBCONTRACTOR,Incomplete,100,Preliminaries,1,0,0,0,unit,0,20,0,0,0,0,0,"Licenced surveyor to provide set-out certificate for the new home to provide to certifier for final certification
"
Site Services,,GROUP,Incomplete,,,,,,,,300,0,60,,,,396,
LABOUR - Site Establishment,Site Services,MATERIAL,Incomplete,124,Labour - Site Establishment,0,75,7.5,82.5,unit,0,20,0,0,0,0,0,
LABOUR - Site Services,Site Services,MATERIAL,Incomplete,125,Labour - Site Services,0,75,7.5,82.5,unit,0,20,0,0,0,0,0,
Site Establishment,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,day,0,20,0,0,0,0,0,"Establishment of all equipment &amp; materials required for construciton
"
Site Decommission,Site Services,LABOUR,Incomplete,202,Site Services,0,0,0,0,day,0,20,0,0,0,0,0,"Pack up and clean of all construction materiasl and equipment on-site.
Removal of all signage, fencing and items that were on-site and responsible by Lighthouse Projects
"
Skip Bin,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,"Skip bins to be on-site at all times during construction. If suitable access is unavailable, then rubbish will be contained in a suitable area and collected in a truck to be taken to the dump. This would be carried out as required throughout the construction of your project to ensure the site is kept tidy.
"
Waste Disposal,Site Services,MATERIAL,Complete,111,Waste Disposal,1,200,20,220,unit,200,20,40,240,24,264,264,"Skip bins or trailer to be on-site at all times during construction. If suitable access is unavailable, then rubbish will be contained in a suitable area and collected in a truck to be taken to the dump. This would be carried out as required throughout the construction of your project to ensure the site is kept tidy.
"
Site Signage,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,"We are required by law to show all necessary signage for Workplace Health and Safety and NSW legislation. This includes signage that shows our site rules and business information.
"
Site Toilet,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,month,0,20,0,0,0,0,0,"We have included for a temporary toilet to be on-site at all times during construction unless noted otherwise. Toilet to be dropped off to and picked from site, as well as pumped out regularly
"
Site Fence,Site Services,MATERIAL,Incomplete,202,Site Services,1,0,0,0,unit,0,20,0,0,0,0,0,
Site Toilet,Site Services,ASSEMBLY,Incomplete,,,0,0,0,0,Weeks,0,0,0,0,0,0,0,"We have included for a temporary toilet to be on-site at all times during construction unless noted otherwise. Toilet to be dropped off to and picked from site, as well as pumped out regularly
"
Site Toilet Hire,Site Toilet,EQUIPMENT,Incomplete,202,Site Services,0,80,8,88,unit,0,20,0,0,0,0,0,
Pump Out,Site Toilet,EQUIPMENT,Incomplete,202,Site Services,0,70,7,77,unit,0,20,0,0,0,0,0,
Drop Off,Site Toilet,EQUIPMENT,Incomplete,202,Site Services,0,150,15,165,unit,0,20,0,0,0,0,0,
Pick Up,Site Toilet,EQUIPMENT,Incomplete,202,Site Services,0,150,15,165,unit,0,20,0,0,0,0,0,
Site Toilet - Purchase ( cheaper than hiring ),Site Services,MATERIAL,Incomplete,FLRT,Flat rate,0,2090.91,209.091,2300.001,Ea,0,20,0,0,0,0,0,
Site Toilet - Purchase Hire,Site Services,MATERIAL,Incomplete,FLRT,Flat rate,0,40.91,4.091,45.001,Weeks,0,20,0,0,0,0,0,
Site Toilet - Pump + Clean,Site Services,MATERIAL,Incomplete,FLRT,Flat rate,0,72.73,7.273,80.003,Ea,0,20,0,0,0,0,0,
Site Toilet - Delivery & Pickup,Site Services,MATERIAL,Incomplete,FLRT,Flat rate,0,136.36,13.636,149.996,Ea,0,20,0,0,0,0,0,
Site cleans throughout build,Site Services,LABOUR,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,"Site to be regularly cleaned and looking respectable and being safe for trades to work in and around
"
Ply for walls while concreting,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,ea,0,20,0,0,0,0,0,
Floor Protection,Site Services,MATERIAL,Incomplete,202,Site Services,0,100,10,110,unit,0,20,0,0,0,0,0,"Floor protection installed to building. Floor protection to stay down for duration of the build.
"
Floor Protection,Site Services,MATERIAL,Incomplete,202,Site Services,0,4.55,0.455,5.005,m2,0,20,0,0,0,0,0,"Floor protection installed to building. Floor protection to stay down for duration of the build.
"
Temporary Fencing,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,Lm,0,20,0,0,0,0,0,"Setting up and hiring site fencing as required for workplace health and safety. Site fencing to remain on-site at all times during construction. ***We have allowed for this to be across the front boundary only.***
"
Site Shed,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,Allowance,0,20,0,0,0,0,0,
Temporary Utilities,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Crane Hire,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Aluminium Scaffold,Site Services,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Scaffolding,Site Services,MATERIAL,Incomplete,114,Scaffolding,0,0,0,0,unit,0,20,0,0,0,0,0,"
Supply and Install scaffold to full building perimeter to allow for all trades a safe working platform to carry out the required works.
Scaffold to be 3 &amp; 5 Boards wide with a level of hop-ups (where possible). Boards and mesh every 2 meters
1 x Standard Stair access, Roof protection, through lower roofs as discussed

"
Edge Protection,Site Services,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Surveyors,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Tree Removal,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Stair Void Fall Protection,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Traffic Control,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Other,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Ply to cover house,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Truss Crane Lift,Site Services,EQUIPMENT,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Temporary Driveway,Site Services,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,"As part of our site establishment, we are required to set up a temporary driveway/access point to the construction site. This is to allow us all weather access at all times during construction and prevent mud and silt from being carried onto the road way.
"
Small Tools & Consumables,Site Services,MATERIAL,Incomplete,202,Site Services,1,0,0,0,unit,0,20,0,0,0,0,0,
Materials Delivery,Site Services,FEE,Incomplete,202,Site Services,1,0,0,0,unit,0,20,0,0,0,0,0,"Delivery of materials to site
"
Sediment Control,Site Services,EQUIPMENT,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Waste Management,Site Services,GROUP,Incomplete,,,,,,,,100,0,20,,,,132,
Wheelie Bin,Waste Management,MATERIAL,Incomplete,202,Site Services,0,0,0,0,unit,0,20,0,0,0,0,0,
Slurry Tub Filters,Waste Management,MATERIAL,Incomplete,202,Site Services,1,100,10,110,unit,100,20,20,120,12,132,132,
Set Out,,GROUP,Incomplete,,,,,,,,75,0,15,,,,99,"Carpenters to construct profile around the site and set out the position of the proposed building
"
LABOUR - Set Out,Set Out,MATERIAL,Incomplete,128,Labour - Set Out,1,75,7.5,82.5,unit,75,20,15,90,9,99,99,
Surveyors Set Out,Set Out,MATERIAL,Incomplete,100,Preliminaries,1,0,0,0,unit,0,20,0,0,0,0,0,"To set out the house position on the block and height reference
"
Site Set Out Materials,Set Out,MATERIAL,Incomplete,204,Set Out,0,0,0,0,Allowance,0,20,0,0,0,0,0,
70x35 Timber Lm,Set Out,MATERIAL,Incomplete,204,Set Out,0,4.5,0.45,4.95,Lm,0,20,0,0,0,0,0,
Tek Screws,Set Out,MATERIAL,Incomplete,204,Set Out,0,20,2,22,ea,0,20,0,0,0,0,0,
Demolition,,GROUP,Incomplete,,,,,,,,75,0,15,,,,99,
LABOUR - Demolition,Demolition,MATERIAL,Incomplete,126,Labour - Demolition,1,75,7.5,82.5,unit,75,20,15,90,9,99,99,
Ramboard Temporary Floor Protection,Demolition,MATERIAL,Incomplete,203,Demolition,0,118.421,11.8421,130.2631,ea,0,20,0,0,0,0,0,
1.7t Excavator,Demolition,EQUIPMENT,Incomplete,113,Hire,0,500,50,550,day,0,20,0,0,0,0,0,
Dumper,Demolition,EQUIPMENT,Incomplete,113,Hire,0,300,30,330,day,0,20,0,0,0,0,0,
Tipper,Demolition,EQUIPMENT,Incomplete,113,Hire,0,100,10,110,day,0,20,0,0,0,0,0,
Plastic for Covering Doorways etc,Demolition,MATERIAL,Incomplete,203,Demolition,0,27.2727,2.7273,30,Ea,0,20,0,0,0,0,0,
Blue Painters Tape,Demolition,MATERIAL,Incomplete,203,Demolition,0,12.2727,1.2273,13.5,Ea,0,20,0,0,0,0,0,
Work To Existing,,GROUP,Incomplete,,,,,,,,75,0,15,,,,99,
LABOUR - Work To Existing,Work To Existing,MATERIAL,Incomplete,127,Labour - Work to Existing,1,75,7.5,82.5,unit,75,20,15,90,9,99,99,
Excavation,,GROUP,Incomplete,,,,,,,,75,0,15,,,,99,
LABOUR - Excavation,Excavation,MATERIAL,Incomplete,129,Labour - Excavation,1,75,7.5,82.5,unit,75,20,15,90,9,99,99,
Excavation,Excavation,SUBCONTRACTOR,Incomplete,206,Excavation,0,0,0,0,unit,0,20,0,0,0,0,0,
1.7t Excavator,Excavation,EQUIPMENT,Incomplete,113,Hire,0,500,50,550,day,0,20,0,0,0,0,0,
Dumper,Excavation,EQUIPMENT,Incomplete,113,Hire,0,300,30,330,day,0,20,0,0,0,0,0,
Tipper,Excavation,EQUIPMENT,Incomplete,113,Hire,0,100,10,110,day,0,20,0,0,0,0,0,
Earthworks Trenching & Back filling,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Hours,0,20,0,0,0,0,0,
Site Cut / Earthworks,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Hours,0,20,0,0,0,0,0,
Footings & Foundations,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Hours,0,20,0,0,0,0,0,
Slab Prep and Place.,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Hours,0,20,0,0,0,0,0,
"Supply Excavation Materials - Base, Dust Etc.",Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
ROCK CLAUSE - Any material that requires breaking or blasting will be a Variation and to be discussed on site prior to proceeding.,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
NOTE - Excavated spoil to stay on site.,Excavation,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Concrete Works,,GROUP,Incomplete,,,,,,,,75,0,15,,,,99,"Supply &amp; Install Footings to Documentation with Standard Trowel Finish
Construct formwork
Supply &amp; Install Edge Boards, Stakes &amp; Braces
Blinding Sand - Allow for Blinding Sand to Base of Slab Area 50mm Thick&nbsp;
Supply &amp; Install 110mm Concrete Slab On Ground Including Edge Thickening, Edge Beam &amp; Internal Beam Footings with Standard Trowel Finish
Supply &amp; Install Steel Reinforcement as per Documentation
"
LABOUR - Concrete Work,Concrete Works,MATERIAL,Incomplete,130,Labour - Concrete Works,1,75,7.5,82.5,unit,75,20,15,90,9,99,99,
Retaining Wall,Concrete Works,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Retaining Wall,Retaining Wall,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Strip Footings,Concrete Works,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Supply &amp; Install Footings to Documentation with Standard Trowel Finish
"
Strip Footing Concrete,Strip Footings,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,m3,0,20,0,0,0,0,0,
Concreting,Concrete Works,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Concreting,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Excavating,Concreting,SUBCONTRACTOR,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Concrete Slab Piers 450d,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Trench Mesh 3-TM12 6000x200,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,54,5.4,59.4,ea,0,20,0,0,0,0,0,
Trench Mesh 3-TM12 Lm x 1,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Trench Mesh 3-TM12 6000x200 Lm x 2,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,19,1.9,20.9,Lm,0,20,0,0,0,0,0,
Trench Mesh Bar Chairs,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,25,2.5,27.5,unit,0,20,0,0,0,0,0,
Starter Bars,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Trench Mesh Spacers 50pk,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,100,10,110,unit,0,20,0,0,0,0,0,
Trench Mesh Chairs 20pk,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,25,2.5,27.5,unit,0,20,0,0,0,0,0,
Strip Footing Labour Chippy,Concreting,LABOUR,Incomplete,207,Concrete Works,0,560,56,616,day,0,20,0,0,0,0,0,
Strip Footing Labour Apprentice,Concreting,LABOUR,Incomplete,207,Concrete Works,0,320,32,352,day,0,20,0,0,0,0,0,
Strip Footing Concrete 450 x 600 = 0.27m2,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,Lm,0,20,0,0,0,0,0,
Formwork Materials,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,Allowance,0,20,0,0,0,0,0,
Formwork Labour Chippy,Concreting,LABOUR,Incomplete,207,Concrete Works,0,560,56,616,day,0,20,0,0,0,0,0,
Formwork Labour Apprentice,Concreting,LABOUR,Incomplete,207,Concrete Works,0,320,32,352,day,0,20,0,0,0,0,0,
Black Plastic,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,100,10,110,ea,0,20,0,0,0,0,0,
SL72 Reinforcing Mesh,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,146,14.6,160.6,ea,0,20,0,0,0,0,0,
SL72 Reinforcing Mesh m2,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,10.5,1.05,11.55,m2,0,20,0,0,0,0,0,
Bar Chairs 100pk,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,50,5,55,ea,0,20,0,0,0,0,0,
Raft Slab Beams,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,Lm,0,20,0,0,0,0,0,
Concrete Supply,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Concrete Labour,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Concrete Supply - 110 Thick,Concreting,ASSEMBLY,Incomplete,,,0,0,0,0,m2,0,0,0,0,0,0,0,
Concrete - 1m x 1m x 0.1m = 0.1m3/m2,Concrete Supply - 110 Thick,MATERIAL,Incomplete,207,Concrete Works,0,300,30,330,m3,0,20,0,0,0,0,0,
Concrete Supply - Decking Concrete Pier 450dia x 600d,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,ea,0,20,0,0,0,0,0,
Concrete Pump,Concreting,MATERIAL,Incomplete,207,Concrete Works,0,0,0,0,unit,0,20,0,0,0,0,0,
Footings - Concrete,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,186.36,18.636,204.996,m3,0,20,0,0,0,0,0,
Slab - Concrete - Mix Standard,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,186.36,18.636,204.996,m3,0,20,0,0,0,0,0,
Delivery - Truck Standby Time,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,163.64,16.364,180.004,Hours,0,20,0,0,0,0,0,
Concrete Pump - Line,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,209.09,20.909,229.999,Hours,0,20,0,0,0,0,0,
Concrete Pump - Per m3,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,6.36,0.636,6.996,m3,0,20,0,0,0,0,0,
Concrete Pump - Primer Fee,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,13.64,1.364,15.004,Ea,0,20,0,0,0,0,0,
Concrete Pump - Travel,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,209.09,20.909,229.999,Ea,0,20,0,0,0,0,0,
Concrete Pump - Clean Out,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,206.61,20.661,227.271,Ea,0,20,0,0,0,0,0,
Plastic Membrane - 200um 4m x 50m = 200m2 Roll (Black),Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,119.34,11.934,131.274,Ea,0,20,0,0,0,0,0,
PVC Tape - 50mm x 30mtr Grey Roll,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,5.37,0.537,5.907,Ea,0,20,0,0,0,0,0,
Tie Wire - Coil Black 1.6mm x 5kg,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,26.45,2.645,29.095,Ea,0,20,0,0,0,0,0,
Delivery - Steel Reo. Zone 1,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,63.64,6.364,70.004,Ea,0,20,0,0,0,0,0,
Fabric Mesh - SL81  2400 x 6000 - Single Layer - Polished Areas Only - ZB Recommendation,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,283.64,28.364,312.004,Ea,0,20,0,0,0,0,0,
Fabric Mesh - SL82  2400 x 6000,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,107.27,10.727,117.997,Ea,0,20,0,0,0,0,0,
Top & Bottom - Trench Mesh - L11TM3  11 x 200 x 6000mm,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,33.52,3.352,36.872,Ea,0,20,0,0,0,0,0,
Bar Chairs - SOG 50/65,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,19.09,1.909,20.999,Ea,0,20,0,0,0,0,0,
Bar Chairs - TM Supports 290 x 65mm,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,19.72,1.972,21.692,Ea,0,20,0,0,0,0,0,
Starter Bars - N12 1000 x 200mm (90 Deg.),Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,2.23,0.223,2.453,Ea,0,20,0,0,0,0,0,
Corner Bars - N12   600 x 600 - 90 deg.,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,2.25,0.225,2.475,Ea,0,20,0,0,0,0,0,
Dowels - 16 x 16 x 400mm Square - Galv.,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,8.68,0.868,9.548,Ea,0,20,0,0,0,0,0,
Dowels - 16mm Sleeve (2 Part System),Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,1.95,0.195,2.145,Ea,0,20,0,0,0,0,0,
Safety Caps - 12-20mm 50/Bag,Concrete Works,MATERIAL,Incomplete,FLRT,Flat rate,0,13.68,1.368,15.048,Ea,0,20,0,0,0,0,0,
Blockwork,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Quote,Blockwork,MATERIAL,Incomplete,309,Brickwork,0,0,0,0,Ea,0,20,0,0,0,0,0,
Polished Concrete,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Polished Concrete -,Polished Concrete,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,m2,0,20,0,0,0,0,0,
Burnished Concrete -,Polished Concrete,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,m2,0,20,0,0,0,0,0,
Ram Board,Polished Concrete,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Sub-Floor,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
LABOUR - Sub-Floor,Sub-Floor,MATERIAL,Incomplete,132,Labour - Sub-Floor,0,75,7.5,82.5,unit,0,20,0,0,0,0,0,
Ezi-Pier Base,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,27,2.7,29.7,ea,0,20,0,0,0,0,0,
Ezi-Pier Head,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,53.5,5.35,58.85,ea,0,20,0,0,0,0,0,
Ezi-Pier Post 2.4,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,200,20,220,ea,0,20,0,0,0,0,0,
Bearers,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,0,0,0,Lm,0,20,0,0,0,0,0,
Joists,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,0,0,0,Lm,0,20,0,0,0,0,0,
Flooring m2,Sub-Floor,MATERIAL,Incomplete,209,Sub-Floor,0,0,0,0,m2,0,20,0,0,0,0,0,
