Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Flooring Supply & Install,Flooring,MATERIAL,Incomplete,335,Floor Coverings,1,0,0,0,unit,0,20,0,0,0,0,0,
Flooring Supply,Flooring,ALLOWANCE,Incomplete,335,Floor Coverings,0,0,0,0,unit,0,20,0,0,0,0,0,
Underlay Supply,Flooring,MATERIAL,Incomplete,335,Floor Coverings,1,0,0,0,unit,0,20,0,0,0,0,0,
Flooring Labour,Flooring,MATERIAL,Incomplete,335,Floor Coverings,1,0,0,0,unit,0,20,0,0,0,0,0,
Flooring Delivery,Flooring,MATERIAL,Incomplete,335,Floor Coverings,1,0,0,0,unit,0,20,0,0,0,0,0,
Floor Protection Supply & Install,Flooring,SUBCONTRACTOR,Incomplete,335,Floor Coverings,0,8,0.8,8.8,unit,0,20,0,0,0,0,0,
Hardwood Flooring Sand & Polish,Flooring,SUBCONTRACTOR,Incomplete,335,Floor Coverings,0,0,0,0,unit,0,20,0,0,0,0,0,
Stair & Balustrade,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Silicone,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Labour,Silicone,LABOUR,Incomplete,348,Silicone,0,600,60,660,day,0,20,0,0,0,0,0,
Ardex SE Silicone,Silicone,MATERIAL,Incomplete,348,Silicone,0,18,1.8,19.8,Ea,0,20,0,0,0,0,0,
Internal Silicone,Silicone,LABOUR,Incomplete,348,Silicone,0,0,0,0,unit,0,20,0,0,0,0,0,"All skirtings to tiled and timber floorsAll aluminium window frames to timber jambsPerimeter of all internal JoineryBoth sides of timber stair stringers to wallsAll internal expansion joints and internal corners of all tiled areas.
"
External Silicone,Silicone,LABOUR,Incomplete,348,Silicone,0,0,0,0,unit,0,20,0,0,0,0,0,"All expansion joints in blockwork and claddings&nbsp;
Perimeter of all aluminium window frames&nbsp;
Any external Joinery if applicable.
"
