Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Site Set Up Labour,Site Services,MATERIAL,Complete,202,Site Services,1,960,96,1056,day,960,22,211.2,1171.2,117.12,1288.32,1288.32,Establishment of all equipment &amp; materials required for construciton
Site Decommission,Site Services,LABOUR,Complete,202,Site Services,1,960,96,1056,day,960,22,211.2,1171.2,117.12,1288.32,1288.32,"Pack up and clean of all construction materiasl and equipment on-site.
 Removal of all signage, fencing and items that were on-site and responsible by Lighthouse Projects"
Skip Bin,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,Allowance,0,22,0,0,0,0,0,"Skip bins to be on-site at all times during construction. If suitable access is unavailable, then rubbish will be contained in a suitable area and collected in a truck to be taken to the dump. This would be carried out as required throughout the construction of your project to ensure the site is kept tidy."
Waste Disposal,Site Services,MATERIAL,Complete,111,Waste Disposal,4,600,60,660,Ea,2400,22,528,732,73.2,805.2,3220.8,"Skip bins or trailer to be on-site at all times during construction. If suitable access is unavailable, then rubbish will be contained in a suitable area and collected in a truck to be taken to the dump. This would be carried out as required throughout the construction of your project to ensure the site is kept tidy."
Site Signage,Site Services,MATERIAL,Complete,202,Site Services,1,300,30,330,unit,300,22,66,366,36.6,402.6,402.6,We are required by law to show all necessary signage for Workplace Health and Safety and NSW legislation. This includes signage that shows our site rules and business information.
Site Toilet,Site Services,MATERIAL,Complete,202,Site Services,3,320,32,352,month,960,22,211.2,390.4,39.04,429.44,1288.32,"We have included for a temporary toilet to be on-site at all times during construction unless noted otherwise.
 Toilet to be pumped out regularly"
Site Toilet Pump Out,Site Services,FEE,Complete,202,Site Services,10,76,7.6,83.6,unit,760,22,167.2,92.72,9.27,101.99,1019.92,"Temporary toilet to be on-site at all times
 Toilet to be delievered and picked up from site and pumped out as necessary"
Site Toilet Pick up & drop off,Site Services,FEE,Complete,202,Site Services,1,220,22,242,unit,220,22,48.4,268.4,26.84,295.24,295.24,
Ply for walls while concreting,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,ea,0,22,0,0,0,0,0,
Floor Protection,Site Services,EQUIPMENT,Complete,202,Site Services,1,300,30,330,unit,300,22,66,366,36.6,402.6,402.6,Floor protection for front stairs and balcony to protect recently renovated exterior works
External Floor Protection,Site Services,MATERIAL,Complete,202,Site Services,1,450,45,495,unit,450,22,99,549,54.9,603.9,603.9,External floor protection for porch &amp; stairs
Floor Protection,Site Services,MATERIAL,Complete,202,Site Services,0,4.55,0.455,5.005,m2,0,22,0,0,0,0,0,Floor protection installed to building. Floor protection to stay down for duration of the build.
Temporary Fencing,Site Services,MATERIAL,Complete,202,Site Services,1,1181.82,118.182,1300.002,Ea,1181.82,22,260,1441.82,144.18,1586,1586,We have included setting up and hiring site fencing as required for workplace health and safety. Site fencing to remain on-site at all times during construction. We have allowed for this to be across the front boundary only.
Site Shed,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,Allowance,0,22,0,0,0,0,0,"No allowance for site shed to store materials
 Use of garage expected"
Temporary Utilities,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,unit,0,22,0,0,0,0,0,
Scaffolding,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,unit,0,22,0,0,0,0,0,
Ply to cover house,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,unit,0,22,0,0,0,0,0,
Small Tools & Consumables,Site Services,MATERIAL,Complete,202,Site Services,0,0,0,0,unit,0,22,0,0,0,0,0,
Materials Delivery,Site Services,FEE,Complete,202,Site Services,1,800,80,880,unit,800,22,176,976,97.6,1073.6,1073.6,Materials to be delivered on-site
Site cleans throughout build,Site Services,LABOUR,Complete,202,Site Services,10,100,10,110,unit,1000,22,220,122,12.2,134.2,1342,Site to be regularly cleaned and looking respectable and being safe for trades to work in and around
"Demolition, Excavation & Encasement",,GROUP,Complete,,,,,,,,19830,0,3966,,,,26175.6,"Set out and profiling of existing brick fence
 Demolition of concrete porch concrete floor and concrete stairs
 Demolition of entire front porch
 Remove existing brick fence and concrete footings
 Dig to open up existing Sydney Water Asset that passes throguh boundary line
 Dig trench footing for front fence
 Dig pier holes that are to go in footings
 Dig to create plumbing provision for stormwater
 Remove existing concrete path
 Place concrete for encasement around Sydney Water asset"
