Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Concrete Paths,,GROUP,Complete,,,,,,,,5924.39,0,0,,,,6516.83,"Form concrete paths
 900mm from the edges around perimeter of the house, excluding rear side
 900mm wide walkway from the front gate to the stairs
 Place concrete paths and finish to a sponged finish"
Timber,Concrete Paths,MATERIAL,Complete,207,Concrete Works,111.46,5,0.5,5.5,Lm,557.3,0,0,5,0.5,5.5,613.03,
Mesh,Concrete Paths,MATERIAL,Complete,207,Concrete Works,60.19,11,1.1,12.1,m2,662.09,0,0,11,1.1,12.1,728.3,
Consumables,Concrete Paths,MATERIAL,Complete,207,Concrete Works,1,5,0.5,5.5,unit,5,0,0,5,0.5,5.5,5.5,
Labour,Concrete Paths,MATERIAL,Complete,207,Concrete Works,2,1600,160,1760,unit,3200,0,0,1600,160,1760,3520,
Concrete,Concrete Paths,MATERIAL,Complete,207,Concrete Works,6,250,25,275,unit,1500,0,0,250,25,275,1650,
Fencing,,GROUP,Complete,,,,,,,,2500,0,500,,,,3300,
Colorbond Fencing,Fencing,SUBCONTRACTOR,Complete,240,Exterior Works,1,2500,250,2750,unit,2500,20,500,3000,300,3300,3300,"Colorbond fencing to western side of brick wall
 Install 3 sections on top of masonry fence"
Carpentry Fit Off,,GROUP,Complete,,,,,,,,795,0,120,,,,1006.5,"Install door stops to external doors
 Install external door seals and weather strips"
Chippy Labour,Carpentry Fit Off,LABOUR,Complete,147,Labour - Carpentry Fit Off,1,600,60,660,ea,600,20,120,720,72,792,792,
Apprentice Labour,Carpentry Fit Off,LABOUR,Complete,147,Labour - Carpentry Fit Off,0,360,36,396,ea,0,20,0,0,0,0,0,
Consumables,Carpentry Fit Off,MATERIAL,Complete,223,Carpentry Fit Off,0,20,2,22,ea,0,20,0,0,0,0,0,
Raven Door Bottom Seal,Carpentry Fit Off,MATERIAL,Complete,223,Carpentry Fit Off,3,25,2.5,27.5,unit,75,0,0,25,2.5,27.5,82.5,Raven RP3 door bottom seal
Door Weather Seal,Carpentry Fit Off,MATERIAL,Complete,223,Carpentry Fit Off,3,10,1,11,unit,30,0,0,10,1,11,33,Raven RP59 door weather strip
Tile Drill Bits,Carpentry Fit Off,MATERIAL,Complete,223,Carpentry Fit Off,0,100,10,110,unit,0,0,0,0,0,0,0,
Door Stops,Carpentry Fit Off,ALLOWANCE,Complete,223,Carpentry Fit Off,3,30,3,33,unit,90,0,0,30,3,33,99,
Cleaning,,GROUP,Complete,,,,,,,,1500,0,300,,,,1980,
Interior Builders Clean,Cleaning,MATERIAL,Complete,350,Cleaning,1,0,0,0,unit,0,20,0,0,0,0,0,
Cleaning Windows,Cleaning,MATERIAL,Complete,350,Cleaning,1,0,0,0,unit,0,20,0,0,0,0,0,
Site Clean,Cleaning,MATERIAL,Complete,350,Cleaning,2.5,600,60,660,unit,1500,20,300,720,72,792,1980,Site clean to ensure external of building site is clean
Exclusions,,GROUP,Complete,,,,,,,,0,0,0,,,,0,
Exclusions,Exclusions,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Design Fees,Exclusions,MATERIAL,Complete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
