Item Number,Category,Category Cost Code,Costing Item,Quantity,UOM,Cost (ex.),Cost Type,Cost Code,Markup (%),Allowance Type (PC/PS),GST Free (Yes/No),Note,SKU
10.11.8,CARPENTRY MATERIALS,CARPENTRY MATERIALS,610 Sealant,0,qty,0,Carpentry Materials,,,,,,
10.11.9,CARPENTRY MATERIALS,CARPENTRY MATERIALS,620 Sealant,0,qty,0,Carpentry Materials,,,,,,
10.11.10,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Fasteners,0,qty,0,Carpentry Materials,,,,,,
10.11.11,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Puttty Knife,0,qty,0,Carpentry Materials,,,,,,
10.11.12,CARPENTRY MATERIALS,CARPENTRY MATERIALS,'321 Adhesive,0,qty,0,Carpentry Materials,,,,,,
10.11.13,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Extension Panel,0,qty,0,Carpentry Materials,,,,,,
10.11.14,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Internal Corner,0,qty,0,Carpentry Materials,,,,,,
10.11.15,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Niche,0,qty,0,Carpentry Materials,,,,,,
10.11.16,CARPENTRY MATERIALS,CARPENTRY MATERIALS,Delivery,0,qty,0,Labour,,,,,,
11.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Decking Labour,0,qty,0,,,0,,No,,
11.1.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Posts/footings brace & install,0,Hr,0,Carpentry Labour,,,,,,
11.1.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Bearers,0,Hr,0,Carpentry Labour,,,,,,
11.1.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Joists,0,Hr,0,Carpentry Labour,,,,,,
11.1.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Decking Install,0,Hr,0,Carpentry Labour,,,,,,
11.1.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Decking undercoat,0,Hr,0,Carpentry Labour,,,,,,
11.1.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Timber Balustrading,0,Hr,0,Carpentry Labour,,,,,,
11.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Stairs Labour,0,qty,0,,,0,,No,,
11.2.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Internal Stairs,0,qty,0,Carpentry Labour,,,,,,
11.2.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Internal Handrails,0,qty,0,Carpentry Labour,,,,,,
11.2.3,CARPENTRY LABOUR,CARPENTRY LABOUR,External Stairs,0,qty,0,Carpentry Labour,,,,,,
11.2.4,CARPENTRY LABOUR,CARPENTRY LABOUR,External Balustrade stairs,0,qty,0,Carpentry Labour,,,,,,
11.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Wall Framing Labour,0,qty,0,,,0,,No,,
11.3.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Frame mark out,0,qty,0,Carpentry Labour,,,,,,
11.3.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Wall Framing up to 2.4m,0,lm,0,Carpentry Labour,,,,,,
11.3.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Wall Framing up to 2.7m,0,lm,0,Carpentry Labour,,,,,,
11.3.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Wall Framing 3m+m,0,lm,0,Carpentry Labour,,,,,,
11.3.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Tie down rods,0,qty,0,Carpentry Labour,,,,,,
11.3.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Bracing sheets,0,qty,0,Carpentry Labour,,,,,,
11.3.7,CARPENTRY LABOUR,CARPENTRY LABOUR,Strapping,0,qty,0,Carpentry Labour,,,,,,
11.3.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Tie down Bolts,0,qty,0,Carpentry Labour,,,,,,
11.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Cladding Labour,0,qty,0,,,0,,No,,
11.4.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Cladding Type 1,0,m2,0,Carpentry Labour,,,,,,
11.4.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Cladding Type 2,0,m2,0,Carpentry Labour,,,,,,
11.4.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Window Trim/moulding,0,qty,0,Carpentry Labour,,,,,,
11.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Floor Framing Labour,0,qty,0,,,0,,No,,
11.5.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Posts,0,Hr,0,Carpentry Labour,,,,,,
11.5.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Bearers,0,Hr,0,Carpentry Labour,,,,,,
11.5.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Joists,0,Hr,0,Carpentry Labour,,,,,,
11.5.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Flooring install,0,Hr,0,Carpentry Labour,,,,,,
11.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Fixout Labour,0,qty,0,,,0,,No,,
11.6.1,CARPENTRY LABOUR,CARPENTRY LABOUR,"Door frame, hang 2040",0,qty,0,Carpentry Labour,,,,,,
11.6.2,CARPENTRY LABOUR,CARPENTRY LABOUR,"Door frame, hang 2440",0,qty,0,Carpentry Labour,,,,,,
11.6.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Cavity Sliders,0,qty,0,Carpentry Labour,,,,,,
11.6.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Barn Door,0,qty,0,Carpentry Labour,,,,,,
11.6.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Robe doors,0,qty,0,Carpentry Labour,,,,,,
11.6.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Robe Jambs,0,qty,0,Carpentry Labour,,,,,,
11.6.7,CARPENTRY LABOUR,CARPENTRY LABOUR,Skirting,0,lm,0,Carpentry Labour,,,,,,
11.6.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Architrave,0,qty,0,Carpentry Labour,,,,,,
11.6.9,CARPENTRY LABOUR,CARPENTRY LABOUR,Bath Blocking,0,qty,0,Carpentry Labour,,,,,,
11.7,CARPENTRY LABOUR,CARPENTRY LABOUR,Soffits Labour,0,qty,0,,,0,,No,,
11.7.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Soffit Framing,0,lm,0,Carpentry Labour,,,,,,
11.7.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Soffit sheets,0,qty,0,Carpentry Labour,,,,,,
11.7.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Moulding,0,qty,0,Carpentry Labour,,,,,,
11.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Roof Framing Labour,0,qty,0,,,0,,No,,
11.8.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Trusses Install,0,Hr,0,Carpentry Labour,,,,,,
11.8.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Rafters,0,Hr,0,Carpentry Labour,,,,,,
11.8.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Ridge beam,0,Hr,0,Carpentry Labour,,,,,,
11.8.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Hip Beam,0,Hr,0,Carpentry Labour,,,,,,
11.8.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Roof Battens,0,Hr,0,Carpentry Labour,,,,,,
11.8.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Collar ties,0,Hr,0,Carpentry Labour,,,,,,
11.8.7,CARPENTRY LABOUR,CARPENTRY LABOUR,Ceiling Battens,0,Hr,0,Carpentry Labour,,,,,,
11.8.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Ceiling trimming timber,0,Hr,0,Carpentry Labour,,,,,,
11.8.9,CARPENTRY LABOUR,CARPENTRY LABOUR,Temp braces,0,Hr,0,Carpentry Labour,,,,,,
11.9,CARPENTRY LABOUR,CARPENTRY LABOUR,Insulation/wrap Labour,0,qty,0,,,0,,No,,
11.9.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Builders Wrap - Proclima,0,m2,0,Carpentry Labour,,,,,,
11.9.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Wall Insulation,0,m2,0,Carpentry Labour,,,,,,
11.9.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Ceiling Insulation,0,m2,0,Carpentry Labour,,,,,,
11.9.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Roof Insulation,0,m2,0,Carpentry Labour,,,,,,
11.9.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Fire insulation,0,m2,0,Carpentry Labour,,,,,,
11.10,CARPENTRY LABOUR,CARPENTRY LABOUR,Wedi products Labour,0,qty,0,,,0,,No,,
11.10.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Showerbase,0,qty,0,Carpentry Materials,,,,,,
11.10.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Walls Sheets,0,qty,0,Carpentry Materials,,,,,,
11.10.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Floor sheets,0,qty,0,Carpentry Materials,,,,,,
11.10.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Extension Panel,0,qty,0,Carpentry Materials,,,,,,
11.10.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Niche,0,qty,0,Carpentry Materials,,,,,,
11.11,CARPENTRY LABOUR,CARPENTRY LABOUR,Fitt off Labour,0,qty,0,,,0,,No,,
11.11.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Barn Door Handle inside and out,0,Hr,0,Carpentry Labour,,,,,,
11.11.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Door Cushin,0,Hr,0,Carpentry Labour,,,,,,
11.11.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Door Stop/catch,0,Hr,0,Carpentry Labour,,,,,,
11.11.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Cupboard Clip/catch,0,Hr,0,Carpentry Labour,,,,,,
11.11.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Dummy Door Handle,0,Hr,0,Carpentry Labour,,,,,,
11.11.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Entrance Lock,0,Hr,0,Carpentry Labour,,,,,,
11.11.7,CARPENTRY LABOUR,CARPENTRY LABOUR,Entrance Handle,0,Hr,0,Carpentry Labour,,,,,,
11.11.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Secondary Entrance Handle,0,Hr,0,Carpentry Labour,,,,,,
11.11.9,CARPENTRY LABOUR,CARPENTRY LABOUR,Secondary Entrance Lock,0,Hr,0,Carpentry Labour,,,,,,
11.11.10,CARPENTRY LABOUR,CARPENTRY LABOUR,Passage Handle,0,Hr,0,Carpentry Labour,,,,,,
11.11.11,CARPENTRY LABOUR,CARPENTRY LABOUR,Privacy Handle,0,Hr,0,Carpentry Labour,,,,,,
11.11.12,CARPENTRY LABOUR,CARPENTRY LABOUR,Cavity Passage set,0,Hr,0,Carpentry Labour,,,,,,
11.11.13,CARPENTRY LABOUR,CARPENTRY LABOUR,Cavity Privacy set,0,Hr,0,Carpentry Labour,,,,,,
11.11.14,CARPENTRY LABOUR,CARPENTRY LABOUR,Cloths Line,0,Hr,0,Carpentry Labour,,,,,,
11.11.15,CARPENTRY LABOUR,CARPENTRY LABOUR,Toilet roll holders,0,Hr,0,Carpentry Labour,,,,,,
11.11.16,CARPENTRY LABOUR,CARPENTRY LABOUR,Towel Rails,0,Hr,0,Carpentry Labour,,,,,,
11.11.17,CARPENTRY LABOUR,CARPENTRY LABOUR,Robe hooks,0,Hr,0,Carpentry Labour,,,,,,
11.11.18,CARPENTRY LABOUR,CARPENTRY LABOUR,Timber window Furniture,0,Hr,0,Carpentry Labour,,,,,,
11.12,CARPENTRY LABOUR,CARPENTRY LABOUR,Window & door install,0,qty,0,,,0,,No,,
11.12.1,CARPENTRY LABOUR,CARPENTRY LABOUR,Install Aluminium windows,0,Hr,0,Carpentry Labour,,,,,,
11.12.2,CARPENTRY LABOUR,CARPENTRY LABOUR,Install Aluminium Doors,0,Hr,0,Carpentry Labour,,,,,,
11.12.3,CARPENTRY LABOUR,CARPENTRY LABOUR,Install Timber windows,0,Hr,0,Carpentry Labour,,,,,,
11.12.4,CARPENTRY LABOUR,CARPENTRY LABOUR,Install Timber Doors,0,Hr,0,Carpentry Labour,,,,,,
11.12.5,CARPENTRY LABOUR,CARPENTRY LABOUR,Plane and Straighten,0,Hr,0,Carpentry Labour,,,,,,
11.12.6,CARPENTRY LABOUR,CARPENTRY LABOUR,Entrance Door Frame Install,0,Hr,0,Carpentry Labour,,,,,,
11.12.7,CARPENTRY LABOUR,CARPENTRY LABOUR,2nd Entrance Door Frame Install,0,Hr,0,Carpentry Labour,,,,,,
11.12.8,CARPENTRY LABOUR,CARPENTRY LABOUR,Cavity Slider frame,0,Hr,0,Carpentry Labour,,,,,,
11.12.9,CARPENTRY LABOUR,CARPENTRY LABOUR,Bathroom blocking,0,Hr,0,Carpentry Labour,,,,,,
12.1,SCAFFOLDING,SCAFFOLDING,Tressels and Planks,0,qty,0,,,0,,No,,
12.2,SCAFFOLDING,SCAFFOLDING,Ground Up Scaffolding,0,qty,0,,,0,,No,,
12.3,SCAFFOLDING,SCAFFOLDING,Rolling tower,0,qty,0,,,0,,No,,
13.1,WINDOWS & DOORS,WINDWS & DOORS,Aluminium windows,0,qty,0,Supplier,,0,,No,,
13.2,WINDOWS & DOORS,WINDWS & DOORS,Aluminium doors,0,qty,0,Supplier,,0,,No,,
13.3,WINDOWS & DOORS,WINDWS & DOORS,Timber doors,0,qty,0,Supplier,,0,,No,,
13.4,WINDOWS & DOORS,WINDWS & DOORS,Timber windows,0,qty,0,Supplier,,0,,No,,
13.5,WINDOWS & DOORS,WINDWS & DOORS,Door & Window Screen,0,qty,0,Supplier,,0,,No,,
13.6,WINDOWS & DOORS,WINDWS & DOORS,Timber door hardware,0,qty,0,Supplier,,0,,No,,
13.7,WINDOWS & DOORS,WINDWS & DOORS,Delivery,0,qty,0,Supplier,,0,,No,,
14.1,ROOFING,ROOFING,Roof Sheeting,0,lm,0,,,0,,No,,
14.2,ROOFING,ROOFING,Roof Battens Metal,0,qty,0,,,0,,No,,
14.3,ROOFING,ROOFING,Gable roll,0,qty,0,,,0,,No,,
14.4,ROOFING,ROOFING,Patio roof insulated,0,qty,0,,,0,,No,,
14.5,ROOFING,ROOFING,Roof Insulation,0,qty,0,,,0,,No,,
14.6,ROOFING,ROOFING,Barge board,0,qty,0,,,0,,No,,
14.7,ROOFING,ROOFING,Valley Gutter,0,qty,0,,,0,,No,,
14.8,ROOFING,ROOFING,Ridge capping,0,qty,0,,,0,,No,,
14.9,ROOFING,ROOFING,Roof Battens Timber,0,qty,0,,,0,,No,,
14.10,ROOFING,ROOFING,Flashing,0,qty,0,,,0,,No,,
14.11,ROOFING,ROOFING,Delivery,0,qty,0,,,0,,No,,
14.12,ROOFING,ROOFING,Carport Roof insulated,0,qty,0,,,0,,No,,
15.1,PARTITIONS & LININGS,PARTITIONS AND LININGS,Plaster Materials,0,m2,0,Supplier,,0,,No,,
15.1.1,PARTITIONS & LININGS,PARTITIONS AND LININGS,Sheetrock One,0,m2,0,Supplier,,,,,,
15.1.2,PARTITIONS & LININGS,PARTITIONS AND LININGS,WR Board,0,m2,0,Supplier,,,,,,
15.1.3,PARTITIONS & LININGS,PARTITIONS AND LININGS,Villa Board,0,m2,0,Supplier,,,,,,
15.1.4,PARTITIONS & LININGS,PARTITIONS AND LININGS,90 mm Cornice,0,m2,0,Supplier,,,,,,
15.1.5,PARTITIONS & LININGS,PARTITIONS AND LININGS,55 mm Cornice,0,lm,0,Supplier,,,,,,
15.1.6,PARTITIONS & LININGS,PARTITIONS AND LININGS,Stud Adhesive 1 Tub per 125m2,0,m2,0,Supplier,,,,,,
15.1.7,PARTITIONS & LININGS,PARTITIONS AND LININGS,External Corners,0,lm,0,Supplier,,,,,,
15.1.8,PARTITIONS & LININGS,PARTITIONS AND LININGS,Base Coat,0,Bag,0,Supplier,,,,,,
15.1.9,PARTITIONS & LININGS,PARTITIONS AND LININGS,All Purpose 15kg,0,Bucket,0,Supplier,,,,,,
15.1.10,PARTITIONS & LININGS,PARTITIONS AND LININGS,Top Coat,0,Bucket,0,Supplier,,,,,,
15.1.11,PARTITIONS & LININGS,PARTITIONS AND LININGS,Screws 25mm Course Thread,0,Box,0,Supplier,,,,,,
15.1.12,PARTITIONS & LININGS,PARTITIONS AND LININGS,Cornice cement,0,Bag,0,Supplier,,,,,,
15.1.13,PARTITIONS & LININGS,PARTITIONS AND LININGS,Spray Adhesive,0,qty,0,Supplier,,,,,,
15.1.14,PARTITIONS & LININGS,PARTITIONS AND LININGS,Joint Tape,0,Roll,0,Supplier,,,,,,
15.1.15,PARTITIONS & LININGS,PARTITIONS AND LININGS,Misc,0,qty,0,Supplier,,,,,,
15.1.16,PARTITIONS & LININGS,PARTITIONS AND LININGS,Cornice (specify Side and Type),0,/5.4m,0,Supplier,,,,,,
15.1.17,PARTITIONS & LININGS,PARTITIONS AND LININGS,Delivery,0,m2,0.75,Supplier,,,,,,
15.2,PARTITIONS & LININGS,PARTITIONS AND LININGS,Labour Sheeting ,0,m2,0,Sub Contractor,,0,,No,,
15.2.1,PARTITIONS & LININGS,PARTITIONS AND LININGS,Sheetrock one Walls,0,m2,6,Sub Contractor,,,,,,
15.2.2,PARTITIONS & LININGS,PARTITIONS AND LININGS,Int -Ceilings,0,m2,7,Sub Contractor,,,,,,
15.2.3,PARTITIONS & LININGS,PARTITIONS AND LININGS,WR Plaster board,0,m2,6,Sub Contractor,,,,,,
15.2.4,PARTITIONS & LININGS,PARTITIONS AND LININGS,Villa Board,0,m2,7,Sub Contractor,,,,,,
15.3,PARTITIONS & LININGS,PARTITIONS AND LININGS,Labour Cornice,0,lm,0,Supplier,,0,,No,,
15.3.1,PARTITIONS & LININGS,PARTITIONS AND LININGS,55/90 mm Cornice Install,0,lm,14,Sub Contractor,,,,,,
15.4,PARTITIONS & LININGS,PARTITIONS AND LININGS,Labour Setting & Sanding ,0,m2,0,Sub Contractor,,0,,No,,
15.4.1,PARTITIONS & LININGS,PARTITIONS AND LININGS,Sheetrock one,0,m2,7.5,Sub Contractor,,,,,,
15.4.2,PARTITIONS & LININGS,PARTITIONS AND LININGS,Int -Ceilings,0,m2,8.5,Sub Contractor,,,,,,
15.4.3,PARTITIONS & LININGS,PARTITIONS AND LININGS,WR Plaster board,0,m2,7.5,Sub Contractor,,,,,,
15.4.4,PARTITIONS & LININGS,PARTITIONS AND LININGS,Villa board,0,m2,7.5,Sub Contractor,,,,,,
15.5,PARTITIONS & LININGS,PARTITIONS AND LININGS,Internal solid plastering/render,0,qty,0,,,0,,No,,
16.1,FLOOR COVERINGS,FLOOR COVERINGS,Vinyl flooring,0,qty,0,Sub Contractor,,0,,No,,
16.2,FLOOR COVERINGS,FLOOR COVERINGS,Floating Floor,0,qty,0,Sub Contractor,,0,,No,,
16.3,FLOOR COVERINGS,FLOOR COVERINGS,Carpet,0,qty,0,Sub Contractor,,0,,No,,
16.4,FLOOR COVERINGS,FLOOR COVERINGS,Hybrid Flooring,0,qty,0,Sub Contractor,,0,,No,,
16.5,FLOOR COVERINGS,FLOOR COVERINGS,Stair Coverings,0,qty,0,,,0,,No,,
17.1,TILING,TILING,Tiling Materials,1,qty,0,Supplier,,0,,No,,
17.1.1,TILING,TILING,Bathroom Floor,0,m2,0,Supplier,,,,,,
17.1.2,TILING,TILING,Bathroom Wall,0,m2,0,Supplier,,,,,,
17.1.3,TILING,TILING,Bathroom Feature Tile wall,0,m2,0,Supplier,,,,,,
17.1.4,TILING,TILING,Bathroom Niche,0,m2,0,Supplier,,,,,,
17.1.5,TILING,TILING,Bathroom Aluminium Angle,0,m2,0,Supplier,,,,,,
17.1.6,TILING,TILING,Bathroom Silicon,0,lm,0,Supplier,,,,,,
17.1.7,TILING,TILING,Bathroom Shower Drain,0,m2,0,Supplier,,,,,,
17.1.8,TILING,TILING,Bathroom Floor drain,0,m2,0,Supplier,,,,,,
17.1.9,TILING,TILING,COPY ANY ABOVE FOR ENSUITE OR EXTRA BATHROOM,0,m2,0,Labour,,,,,,
17.1.10,TILING,TILING,Main Floor Tiles,0,m2,0,Supplier,,,,,,
17.1.11,TILING,TILING,Laundry FLoor,0,m2,0,Supplier,,,,,,
17.1.12,TILING,TILING,Laundry Splashback,0,m2,0,Supplier,,,,,,
17.1.13,TILING,TILING,Laundry Skirting,0,m2,0,Supplier,,,,,,
17.1.14,TILING,TILING,WC/Powder room Floor,0,m2,0,Supplier,,,,,,
17.1.15,TILING,TILING,WC/Powder room Skirting,0,m2,0,Supplier,,,,,,
17.1.16,TILING,TILING,Kitchen/Butler Splashback,0,m2,0,Supplier,,,,,,
17.1.17,TILING,TILING,Laundy Silicon,0,lm,0,Labour,,,,,,
17.1.18,TILING,TILING,Kitchen Silicon,0,lm,0,Labour,,,,,,
17.1.19,TILING,TILING,WC/Powder Room Silicon,0,lm,0,Labour,,,,,,
17.1.20,TILING,TILING,Accessories Delivery/pick up,0,qty,0,Supplier,,,,,,
17.1.21,TILING,TILING,Tile Pallet Delivery,0,qty,0,Supplier,,,,,,
17.2,TILING,TILING,Tiling Labour,1,qty,0,Sub Contractor,,0,,No,,
17.2.1,TILING,TILING,Bathroom Floor,0,m2,0,Sub Contractor,,,,,,
17.2.2,TILING,TILING,Bathroom Wall,0,m2,0,Sub Contractor,,,,,,
17.2.3,TILING,TILING,Bathroom Feature Tile wall,0,m2,0,Sub Contractor,,,,,,
17.2.4,TILING,TILING,Bathroom Niche,0,m2,0,Sub Contractor,,,,,,
17.2.5,TILING,TILING,Bathroom Aluminium Angle,0,m2,0,Sub Contractor,,,,,,
17.2.6,TILING,TILING,Bathroom Silicon,0,lm,0,Sub Contractor,,,,,,
17.2.7,TILING,TILING,Bathroom Shower Drain,0,m2,0,Sub Contractor,,,,,,
17.2.8,TILING,TILING,Bathroom Floor drain,0,m2,0,Sub Contractor,,,,,,
17.2.9,TILING,TILING,COPY ANY ABOVE FOR ENSUITE OR EXTRA BATHROOM,0,qty,0,Sub Contractor,,,,,,
17.2.10,TILING,TILING,Main Floor Tiles,0,m2,0,Sub Contractor,,,,,,
17.2.11,TILING,TILING,Laundry FLoor,0,m2,0,Sub Contractor,,,,,,
17.2.12,TILING,TILING,Laundry Splashback,0,m2,0,Sub Contractor,,,,,,
17.2.13,TILING,TILING,Laundry Skirting,0,lm,0,Sub Contractor,,,,,,
17.2.14,TILING,TILING,WC/Powder room Floor,0,m2,0,Sub Contractor,,,,,,
17.2.15,TILING,TILING,WC/Powder room Skirting,0,lm,0,Sub Contractor,,,,,,
17.2.16,TILING,TILING,Kitchen/Butler Splashback,0,m2,0,Sub Contractor,,,,,,
17.2.17,TILING,TILING,Main floor Silicon,0,lm,0,Sub Contractor,,,,,,
17.2.18,TILING,TILING,Laundry Silicon,0,lm,0,Sub Contractor,,,,,,
17.2.19,TILING,TILING,WC/Powder Room Silicon,0,lm,0,Sub Contractor,,,,,,
17.2.20,TILING,TILING,Tile Niche,0,qty,0,Sub Contractor,,,,,,
18.1,JOINERY,JOINERY,Butler Pantry Joinery,0,qty,0,Sub Contractor,,0,,No,,
18.2,JOINERY,JOINERY,Benchtop Kitchen,0,qty,0,Sub Contractor,,0,,No,,
18.3,JOINERY,JOINERY,Benchtop Laundry,0,qty,0,Sub Contractor,,0,,No,,
18.4,JOINERY,JOINERY,Bathroom Joinery,0,qty,0,Sub Contractor,,0,,No,,
18.5,JOINERY,JOINERY,Benchtop Butler Pantry,0,qty,0,Sub Contractor,,0,,No,,
18.6,JOINERY,JOINERY,Kitchen Joinery,0,qty,0,Sub Contractor,,0,,No,,
18.7,JOINERY,JOINERY,Laundry Joinery,0,qty,0,Sub Contractor,,0,,No,,
18.8,JOINERY,JOINERY,Bed 2 Robe fitout,0,qty,0,Sub Contractor,,0,,No,,
18.9,JOINERY,JOINERY,Linnen Fitout,0,qty,0,Sub Contractor,,0,,No,,
18.10,JOINERY,JOINERY,Bathroom Benchtop,0,qty,0,Sub Contractor,,0,,No,,
18.11,JOINERY,JOINERY,Bed 3 Robe fitout,0,qty,0,Sub Contractor,,0,,No,,
18.12,JOINERY,JOINERY,Linnen Door,0,qty,0,Sub Contractor,,0,,No,,
18.13,JOINERY,JOINERY,Bed 1 Robe Doors,0,qty,0,Sub Contractor,,0,,No,,
18.14,JOINERY,JOINERY,Bed 4 Robe Doors,0,qty,0,Sub Contractor,,0,,No,,
18.15,JOINERY,JOINERY,Bed 1 Robe fitout,0,qty,0,Sub Contractor,,0,,No,,
18.16,JOINERY,JOINERY,Bed 2 Robe Doors,0,qty,0,Sub Contractor,,0,,No,,
18.17,JOINERY,JOINERY,Bed 3 Robe Doors,0,qty,0,Sub Contractor,,0,,No,,
18.18,JOINERY,JOINERY,Benchtop WC/Powder room ,0,qty,0,Sub Contractor,,0,,No,,
18.19,JOINERY,JOINERY,WC/Powder room Joinery,0,qty,0,Sub Contractor,,0,,No,,
18.20,JOINERY,JOINERY,Bed 4 Robe fitout,0,qty,0,Sub Contractor,,0,,No,,
19.1,RENDERING,RENDERING,Blue board Rendering,0,qty,0,Sub Contractor,,0,,No,,
19.2,RENDERING,RENDERING,Block Rendering,0,qty,0,Sub Contractor,,0,,No,,
19.3,RENDERING,RENDERING,Brick Rendering,0,qty,0,Sub Contractor,,0,,No,,
20.1,PAINTING,PAINTING,Internal Painting Labour,1,qty,0,Paint Labour,,0,,No,,
20.1.1,PAINTING,PAINTING,Main wall Colour,0,lm,0,Paint Labour,,,,,,
20.1.2,PAINTING,PAINTING,Feature Wall Colour,0,m2,0,Paint Labour,,,,,,
20.1.3,PAINTING,PAINTING,Main Ceilings,0,m2,0,Paint Labour,,,,,,
20.1.4,PAINTING,PAINTING,Wet Area Ceilings,0,m2,0,Paint Labour,,,,,,
20.1.5,PAINTING,PAINTING,Skirting,0,lm,0,Paint Labour,,,,,,
20.1.6,PAINTING,PAINTING,Architrave,0,lm,0,Paint Labour,,,,,,
20.1.7,PAINTING,PAINTING,Door Frames,0,qty,0,Paint Labour,,,,,,
20.1.8,PAINTING,PAINTING,Doors,0,qty,0,Paint Labour,,,,,,
20.1.9,PAINTING,PAINTING,Robe Frames,0,qty,0,Paint Labour,,,,,,
20.1.10,PAINTING,PAINTING,Robe Doors,0,qty,0,Paint Labour,,,,,,
20.1.11,PAINTING,PAINTING,Internals of robes,0,qty,0,Paint Labour,,,,,,
20.1.12,PAINTING,PAINTING,Barn doorss,0,qty,0,Paint Labour,,,,,,
20.1.13,PAINTING,PAINTING,Window Frames,0,qty,0,Paint Labour,,,,,,
20.1.14,PAINTING,PAINTING,Window Sashes,0,qty,0,Paint Labour,,,,,,
20.1.15,PAINTING,PAINTING,Door Frames,0,qty,0,Paint Labour,,,,,,
20.1.16,PAINTING,PAINTING,Door Sashes,0,qty,0,Paint Labour,,,,,,
20.1.17,PAINTING,PAINTING,Stairs - Stringers/risers,0,qty,0,Paint Labour,,,,,,
20.1.18,PAINTING,PAINTING,Balustrade,0,lm,0,Paint Labour,,,,,,
20.1.19,PAINTING,PAINTING,Handrail,0,qty,0,Paint Labour,,,,,,
20.1.20,PAINTING,PAINTING,Feature timber slats,0,qty,0,Paint Labour,,,,,,
20.1.21,PAINTING,PAINTING,MISC,0,qty,0,Paint Labour,,,,,,
20.2,PAINTING,PAINTING,Internal Painting Materials,1.1,qty,0,Paint Materials,,0,,No,,
20.2.1,PAINTING,PAINTING,Main wall Colour,0,m2,0,Paint Materials,,,,,,
20.2.2,PAINTING,PAINTING,Feature Wall Colour,0,m2,0,Paint Materials,,,,,,
20.2.3,PAINTING,PAINTING,Main Ceilings,0,m2,0,Paint Materials,,,,,,
